episode,epsilon,sum_neg_reward,cumulative_wait,avg_queue_length
1,1.0,-221.9274603174603,233,0.1
2,0.97,0,0,0.0
3,0.95,-98.60285714285713,104,0.1
4,0.93,-20.54285714285714,24,0.0
5,0.9,-20.81,28,0.0
6,0.88,-42.6515873015873,47,0.0
7,0.85,0,0,0.0
8,0.82,-68.00714285714285,78,0.0
9,0.8,-47.45555555555555,50,0.0
10,0.78,0,0,0.0
11,0.75,-16.577777777777776,20,0.0
12,0.72,-15.507142857142856,15,0.0
13,0.7,0,0,0.0
14,0.68,-0.2142857142857143,2,0.0
15,0.65,-6.52,10,0.0
16,0.62,-10.471428571428572,18,0.0
17,0.6,-206.61999999999998,205,0.1
18,0.57,-7.25,11,0.0
19,0.55,0,0,0.0
20,0.53,-36.15,39,0.0
21,0.5,-5.2555555555555555,9,0.0
22,0.47,0,0,0.0
23,0.45,0,0,0.0
24,0.43,-2.2222222222222223,6,0.0
25,0.4,-4.4622222222222225,12,0.0
26,0.38,-6.46,14,0.0
27,0.35,-7.2700000000000005,11,0.0
28,0.32,-7.277777777777778,11,0.0
29,0.3,0,0,0.0
30,0.28,0,0,0.0
31,0.25,0,0,0.0
32,0.22,0,0,0.0
33,0.2,0,0,0.0
34,0.18,0,0,0.0
35,0.15,0,0,0.0
36,0.12,-16.786666666666665,24,0.0
37,0.1,0,0,0.0
38,0.07,-16.514285714285712,30,0.0
39,0.05,0,0,0.0
40,0.03,0,0,0.0
